Start Date,End Date,Consumption Type,Usage
09/24/2023,10/23/2023,Usage,2859
08/24/2023,09/23/2023,Usage,2642
07/25/2023,08/23/2023,Usage,1686
06/26/2023,07/24/2023,Usage,1528
05/25/2023,06/25/2023,Usage,2222
04/23/2023,05/24/2023,Usage,1706
03/26/2023,04/22/2023,Usage,2432
02/26/2023,03/25/2023,Usage,2845
01/24/2023,02/25/2023,Usage,3791
12/26/2022,01/23/2023,Usage,2989
11/27/2022,12/25/2022,Usage,2626
10/25/2022,11/26/2022,Usage,2922
09/25/2022,10/24/2022,Usage,2879
08/25/2022,09/24/2022,Usage,2814
07/26/2022,08/24/2022,Usage,1516
06/27/2022,07/25/2022,Usage,885
05/26/2022,06/26/2022,Usage,792
04/26/2022,05/25/2022,Usage,817
03/27/2022,04/25/2022,Usage,800
02/27/2022,03/26/2022,Usage,812
01/26/2022,02/26/2022,Usage,1124
12/27/2021,01/25/2022,Usage,904
11/28/2021,12/26/2021,Usage,996
10/26/2021,11/27/2021,Usage,1061
09/20/2021,10/25/2021,Usage,1154
08/26/2021,09/19/2021,Usage,820
07/27/2021,08/25/2021,Usage,963
06/27/2021,07/26/2021,Usage,1280
05/26/2021,06/26/2021,Usage,1783
04/28/2021,05/25/2021,Usage,881
03/25/2021,04/27/2021,Usage,1423
02/28/2021,03/24/2021,Usage,1037
01/27/2021,02/27/2021,Usage,1402
12/27/2020,01/26/2021,Usage,969
11/24/2020,12/26/2020,Usage,1042
10/25/2020,11/23/2020,Usage,1108
09/24/2020,10/24/2020,Usage,1071
08/25/2020,09/23/2020,Usage,910
07/26/2020,08/24/2020,Usage,658
06/25/2020,07/25/2020,Usage,593
05/26/2020,06/24/2020,Usage,521
04/26/2020,05/25/2020,Usage,616
03/26/2020,04/25/2020,Usage,636
02/26/2020,03/25/2020,Usage,622
01/27/2020,02/25/2020,Usage,656
12/29/2019,01/26/2020,Usage,851
11/27/2019,12/28/2019,Usage,660
10/30/2019,11/26/2019,Usage,754
09/30/2019,10/29/2019,Usage,731
09/08/2019,09/29/2019,Usage,574
07/31/2019,09/07/2019,Usage,1185
07/01/2019,07/30/2019,Usage,1108
05/31/2019,06/30/2019,Usage,1419
05/01/2019,05/30/2019,Usage,1180
03/28/2019,04/30/2019,Usage,1427
03/01/2019,03/27/2019,Usage,928
01/31/2019,02/28/2019,Usage,1033
12/31/2018,01/30/2019,Usage,1474
11/29/2018,12/30/2018,Usage,1238
10/31/2018,11/28/2018,Usage,1342
09/30/2018,10/30/2018,Usage,1196
08/30/2018,09/29/2018,Usage,874
07/30/2018,08/29/2018,Usage,692
06/29/2018,07/29/2018,Usage,706
05/30/2018,06/28/2018,Usage,748
04/30/2018,05/29/2018,Usage,733
03/28/2018,04/29/2018,Usage,954
03/01/2018,03/27/2018,Usage,736
01/29/2018,02/28/2018,Usage,826
12/26/2017,01/28/2018,Usage,1291
11/27/2017,12/25/2017,Usage,742
10/26/2017,11/26/2017,Usage,1213
09/26/2017,10/25/2017,Usage,1110
08/25/2017,09/25/2017,Usage,1171
07/27/2017,08/24/2017,Usage,1034
06/27/2017,07/26/2017,Usage,1107
05/26/2017,06/26/2017,Usage,1143